Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,110.0,10,0.0009611999994376674,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",10,0.02,4096
1,110.0,21,0.004216200002701953,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",10,0.02,4096
2,116.0,33,0.007823400002962444,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.02,4096
4,116.0,55,0.011394300003303215,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.02,4096
8,119.0,101,0.017160099996544886,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 1, 0, 2, 1, 2, 2, 2, 1, 0, 2, 2, 0, 0, 0, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0]",10,0.02,4096
16,126.0,192,0.029315599997062236,"[1, 1, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 1, 2, 0, 2, 1, 0, 0, 1, 0, 1, 2, 1, 1, 0, 0]",10,0.02,4096
32,128.0,369,0.05114000000321539,"[1, 1, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 1, 2, 0, 2, 1, 0, 0, 1, 2, 1, 2, 1, 1, 0, 0]",10,0.02,4096
64,131.0,723,0.08680920000188053,"[1, 1, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 0, 1, 2, 0, 2, 1, 0, 0, 1, 2, 1, 2, 1, 1, 0, 1]",10,0.02,4096
128,131.0,1427,0.1833732000013697,"[1, 1, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 0, 1, 2, 0, 2, 1, 0, 0, 1, 2, 1, 2, 1, 1, 0, 1]",10,0.02,4096
256,133.0,2837,0.3728365999995731,"[1, 1, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 2, 0, 2, 1, 1, 0, 1, 2, 1, 2, 1, 1, 2, 1]",10,0.02,4096
512,133.0,5653,0.7466454000023077,"[1, 1, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 2, 0, 2, 1, 1, 0, 1, 2, 1, 2, 1, 1, 2, 1]",10,0.02,4096
1024,134.0,11286,1.555165700003272,"[1, 1, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 2, 0, 0, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 2, 0, 2, 1, 1, 0, 1, 2, 1, 2, 1, 1, 2, 1]",10,0.02,4096
2048,134.0,12133,1.6796480999983032,"[1, 1, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 2, 0, 0, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 2, 0, 2, 1, 1, 0, 1, 2, 1, 2, 1, 1, 2, 1]",10,0.02,4096
4096,134.0,12133,1.6796480999983032,"[1, 1, 2, 1, 2, 1, 2, 0, 0, 1, 1, 0, 2, 0, 0, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 2, 0, 2, 1, 1, 0, 1, 2, 1, 2, 1, 1, 2, 1]",10,0.02,4096
0,110.0,10,0.0009418999979970977,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",10,0.05,4096
1,110.0,21,0.006289899996772874,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",10,0.05,4096
2,116.0,33,0.01100869999936549,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.05,4096
4,116.0,55,0.016270599997369573,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.05,4096
8,116.0,99,0.023750599997583777,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.05,4096
16,120.0,189,0.04179599999770289,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0]",10,0.05,4096
32,122.0,367,0.06301309999980731,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0]",10,0.05,4096
64,122.0,719,0.11124310000013793,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 2, 1, 1, 0, 0]",10,0.05,4096
128,126.0,1425,0.2157638999997289,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 2, 0, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0]",10,0.05,4096
256,129.0,2835,0.39374359999783337,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 1, 0, 2, 2, 0, 1, 2, 2, 2, 0, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0]",10,0.05,4096
512,132.0,5654,0.7939344999977038,"[1, 1, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 1, 0, 2, 2, 0, 1, 2, 2, 0, 0, 1, 0, 0, 1, 1, 0, 2, 2, 1, 0, 0, 0, 1, 2, 1, 1, 0, 1]",10,0.05,4096
1024,138.0,11290,1.6476886000018567,"[1, 1, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0, 2, 0, 0, 2, 2, 1, 2, 2, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 0, 1]",10,0.05,4096
2048,140.0,19036,2.958393100001558,"[1, 1, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 0, 1, 2, 0, 1, 1, 0, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 0, 1]",10,0.05,4096
4096,140.0,19036,2.958393100001558,"[1, 1, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 0, 1, 2, 0, 1, 1, 0, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 0, 1]",10,0.05,4096
0,110.0,10,0.0010679999977583066,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",10,0.1,4096
1,110.0,21,0.00761429999693064,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",10,0.1,4096
2,116.0,33,0.015355099996668287,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.1,4096
4,116.0,55,0.025132000002486166,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.1,4096
8,116.0,99,0.03898430000117514,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.1,4096
