Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,110.0,0,0.00029709999944316223,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",5,4096,0
1,110.0,1,0.0015774999992572702,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",5,4096,0
2,110.0,2,0.0024687000041012652,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",5,4096,0
4,113.0,6,0.004160199998295866,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 1, 1, 2]",5,4096,0
8,113.0,10,0.006045599999197293,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 1, 1, 2]",5,4096,0
16,115.0,19,0.008943000000726897,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 2, 2, 1, 1, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 1, 1, 2]",5,4096,0
32,120.0,39,0.011982299998635426,"[0, 2, 1, 1, 1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 2, 2, 1, 1, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 1, 1, 2]",5,4096,0
64,127.0,76,0.01605810000182828,"[2, 2, 1, 0, 1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 2, 2, 2, 1, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 2, 1, 2]",5,4096,0
128,131.0,143,0.02428199999849312,"[2, 2, 1, 0, 1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 2, 1, 1, 0, 2, 1, 2, 2, 0, 2, 2, 2, 2, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 2, 2, 2]",5,4096,0
256,131.0,201,0.032134100001712795,"[2, 2, 1, 0, 1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 2, 1, 1, 0, 2, 1, 2, 2, 0, 2, 2, 2, 2, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 2, 2, 2]",5,4096,0
