Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,110.0,0,0.0002125000028172508,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",geometric,1.0,0.99,0.001,0.9999978643058834,1.0,4096
1,110.0,1,0.0013298000048962422,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",geometric,1.0,0.99,0.001,0.9999866351526432,1.0,4096
2,112.0,3,0.00272430000040913,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 0, 1, 1, 2]",geometric,1.0,0.99,0.001,0.9999726202448626,1.0,4096
4,113.0,6,0.0046208999992813915,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 1, 1, 2]",geometric,1.0,0.99,0.001,0.999953559481456,1.0,4096
8,113.0,12,0.006684100000711624,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 1, 0, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 1, 1, 2]",geometric,1.0,0.99,0.001,0.9999328248064688,1.0,4096
16,119.0,27,0.008856899999955203,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 1, 1, 2, 1, 1, 0, 1, 0, 1, 1, 0, 1, 2, 1, 2, 0, 2, 1, 1, 1, 0, 2, 2, 1, 1, 0, 2, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 1, 1, 2]",geometric,1.0,0.99,0.001,0.9999109891420811,1.0,4096
32,123.0,50,0.01204140000481857,"[2, 2, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 0, 2, 1, 0, 1, 2, 1, 2, 0, 2, 1, 1, 1, 0, 2, 2, 1, 1, 0, 1, 0, 2, 2, 2, 1, 0, 0, 0, 2, 0, 2, 1, 2]",geometric,1.0,0.99,0.001,0.9998789872084438,1.0,4096
64,128.0,94,0.01675740000064252,"[2, 2, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 2, 1, 0, 0, 1, 0, 2, 1, 0, 0, 2, 1, 2, 1, 0, 1, 2, 1, 0, 2, 0, 2, 1, 0, 1, 0, 2, 2, 2, 1, 0, 2, 0, 2, 0, 2, 1, 2]",geometric,1.0,0.99,0.001,0.9998315966833927,1.0,4096
128,134.0,176,0.027728400003979914,"[0, 2, 2, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 0, 0, 2, 0, 2, 0, 0, 0, 2, 1, 0, 1, 1, 2, 2, 1, 0, 2, 0, 2, 2, 0, 1, 0, 2, 2, 2, 1, 0, 2, 0, 2, 0, 1, 1, 2]",geometric,1.0,0.99,0.001,0.9997213590948696,1.0,4096
256,138.0,321,0.0489030000026105,"[0, 2, 0, 0, 1, 2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 2, 2, 0, 2, 2, 0, 0, 0, 1, 2, 1, 0, 0, 2, 1, 2, 2, 0, 2, 2, 0, 1, 0, 2, 2, 2, 1, 0, 2, 0, 2, 0, 0, 2, 2]",geometric,1.0,0.99,0.001,0.9995086291879284,1.0,4096
